Via,Capacidade máxima,Ritmo de Saida,RGT
V1,14 Carros,20 Carros/Segundo,
V2,19 Carros,20 Carros/Segundo,10 Carros/Segundo
V3,11 Carros,20 Carros/Segundo,
V4,7 Carros,20 Carros/Segundo,
V5,5 Carros,20 Carros/Segundo,
V6,6 Carros,20 Carros/Segundo,
V7,5 Carros,20 Carros/Segundo,10 Carros/Segundo
V8,9 Carros,20 Carros/Segundo,
V9,17 Carros,20 Carros/Segundo,
V10,11 Carros,20 Carros/Segundo,
V11,6 Carros,20 Carros/Segundo,
V12,15 Carros,20 Carros/Segundo,
V13,8 Carros,20 Carros/Segundo,
V14,19 Carros,20 Carros/Segundo,10 Carros/Segundo
V15,13 Carros,20 Carros/Segundo,
V16,8 Carros,20 Carros/Segundo,
V17,20 Carros,20 Carros/Segundo,
V18,12 Carros,20 Carros/Segundo,
V19,9 Carros,20 Carros/Segundo,
V20,18 Carros,20 Carros/Segundo,10 Carros/Segundo
V21,16 Carros,20 Carros/Segundo,
V22,18 Carros,20 Carros/Segundo,
V23,16 Carros,20 Carros/Segundo,
V24,7 Carros,20 Carros/Segundo,
V25,10 Carros,20 Carros/Segundo,
V26,12 Carros,20 Carros/Segundo,
V27,13 Carros,20 Carros/Segundo,
V28,5 Carros,20 Carros/Segundo,
V29,20 Carros,20 Carros/Segundo,
V30,15 Carros,20 Carros/Segundo,
V31,9 Carros,20 Carros/Segundo,10 Carros/Segundo
V32,10 Carros,20 Carros/Segundo,
V33,14 Carros,20 Carros/Segundo,
V34,12 Carros,20 Carros/Segundo,
V35,17 Carros,20 Carros/Segundo,
V36,13 Carros,20 Carros/Segundo,
